Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
6/30/2006,0.7616,0.7623,0.7494,0.7521,72364000000,0,0,1270.2,5073.9,Bear
7/2/2006,0.7524,0.7528,0.7478,0.7501,5046000000,-0.005,-0.001156423,1270.2,5073.9,Bear
7/3/2006,0.7501,0.7522,0.7474,0.7493,50633000000,-0.0048,-0.000463433,1280.19,5092.2,Bear
7/4/2006,0.7494,0.7508,0.7387,0.7422,79995000000,-0.0121,-0.004134783,1280.19,5104.7,Bear
7/5/2006,0.7423,0.7447,0.7376,0.7393,72521000000,-0.0071,-0.001700244,1270.91,5096.9,Bull
7/6/2006,0.7394,0.7467,0.7363,0.7399,77137000000,0.0104,0.000352321,1274.08,5120.3,Bull
7/7/2006,0.7398,0.7442,0.7362,0.7415,64444000000,0.008,0.000938128,1265.48,5135.3,Bull
7/9/2006,0.742,0.7432,0.7412,0.742,4129000000,0.002,0.00029275,1265.48,5135.3,Bull
7/10/2006,0.742,0.7486,0.7413,0.7479,59778000000,0.0073,0.003439628,1267.34,5142.8,Bull
7/11/2006,0.7477,0.7574,0.7461,0.7546,72693000000,0.0113,0.003873268,1272.43,5107.2,Bear
7/12/2006,0.7546,0.7563,0.7466,0.7487,68257000000,-0.0097,-0.003408968,1258.6,5128.3,Bull
7/13/2006,0.7486,0.7539,0.7481,0.7514,57287000000,0.0058,0.001563358,1242.28,5084.6,Bear
7/14/2006,0.7514,0.7536,0.7468,0.7491,52462000000,-0.0068,-0.001331394,1236.2,4966.1,Bear
7/16/2006,0.7486,0.7493,0.7473,0.749,4175000000,-0.002,-5.80E-05,1236.2,4966.1,Bull
7/17/2006,0.749,0.7547,0.7468,0.7538,55341000000,0.0079,0.002774315,1234.49,4956.2,Bear
7/18/2006,0.7538,0.7541,0.7473,0.7503,53012000000,-0.0068,-0.002021187,1236.86,4923.3,Bull
7/19/2006,0.7502,0.7573,0.7498,0.7559,48381000000,0.0075,0.003229399,1259.81,4900.1,Bull
7/20/2006,0.7562,0.7666,0.7557,0.7638,62997000000,0.0109,0.004515309,1249.13,4996.5,Bear
7/21/2006,0.7639,0.7686,0.7622,0.7631,53821000000,-0.0064,-0.0003982,1240.29,4960.6,Bear
7/23/2006,0.763,0.7633,0.7601,0.7629,4289000000,-0.0032,-0.000113839,1240.29,4960.6,Bear
7/24/2006,0.7632,0.7646,0.7581,0.7614,47542000000,-0.0065,-0.000854742,1260.91,4934.4,Bear
7/25/2006,0.7616,0.7618,0.7565,0.7582,60046000000,-0.0053,-0.001829092,1268.88,4992.4,Bear
7/26/2006,0.7582,0.7596,0.7523,0.7571,62798000000,-0.0073,-0.000630534,1268.4,4935.7,Bull
7/27/2006,0.757,0.7609,0.7533,0.7588,53742000000,0.0076,0.000974076,1263.2,5007.8,Bear
7/28/2006,0.7586,0.7626,0.7559,0.7566,53022000000,-0.0067,-0.001260985,1278.55,4958.3,Bear
7/30/2006,0.7565,0.7574,0.7549,0.7562,2820000000,-0.0025,-0.000229664,1278.55,4958.3,Bull
7/31/2006,0.7559,0.7635,0.755,0.7604,50012000000,0.0085,0.002405435,1276.66,4986,Bull
8/1/2006,0.7604,0.7666,0.7595,0.7659,57596000000,0.0071,0.003129961,1270.92,4981.3,Bull
8/2/2006,0.7659,0.7729,0.7622,0.7714,53671000000,0.0107,0.003107565,1277.41,4931.5,Bear
8/3/2006,0.7713,0.7743,0.769,0.7708,53174000000,-0.0053,-0.000337929,1280.27,4997.5,Bear
8/4/2006,0.7707,0.7715,0.7656,0.7676,55154000000,-0.0059,-0.00180674,1279.36,4956.1,Bull
8/6/2006,0.7677,0.7685,0.7666,0.7676,4236000000,-0.0019,0,1279.36,4956.1,Bear
8/7/2006,0.7678,0.7685,0.7628,0.7643,55328000000,-0.0057,-0.001871106,1275.77,4961.8,Bear
8/8/2006,0.7644,0.7662,0.7581,0.7605,58572000000,-0.0081,-0.002164641,1271.48,5024.8,Bull
8/9/2006,0.7605,0.7662,0.7601,0.7644,56065000000,0.0061,0.00222146,1265.95,4962,Bull
8/10/2006,0.7644,0.7747,0.7637,0.7727,57532000000,0.011,0.004690234,1271.81,4953.2,Bear
8/11/2006,0.7725,0.7754,0.7701,0.7716,50818000000,-0.0053,-0.000618693,1266.74,4949.2,Bull
8/13/2006,0.7715,0.7744,0.7714,0.7736,3639000000,0.003,0.001124242,1266.74,4949.2,Bear
8/14/2006,0.7739,0.7743,0.766,0.7676,42611000000,-0.0083,-0.003381495,1268.21,4971.3,Bull
8/15/2006,0.7676,0.7711,0.7657,0.7684,51156000000,0.0054,0.00045239,1285.58,4936,Bear
8/16/2006,0.7684,0.7688,0.7585,0.7591,57860000000,-0.0103,-0.005288365,1295.43,4961.9,Bear
8/17/2006,0.7591,0.7611,0.7508,0.7532,49902000000,-0.0103,-0.00338868,1297.48,5055.9,Bear
8/18/2006,0.7531,0.7539,0.7491,0.7515,48820000000,-0.0048,-0.000981326,1302.3,5052.5,Bear
8/20/2006,0.7513,0.7522,0.7502,0.7513,3859000000,-0.002,-0.000115596,1302.3,5052.5,Bull
8/21/2006,0.7513,0.7565,0.7509,0.7547,48556000000,0.0056,0.001960961,1297.52,5063.6,Bull
8/22/2006,0.7547,0.7569,0.7532,0.756,43643000000,0.0037,0.000747446,1298.82,5076.2,Bear
8/23/2006,0.7556,0.7577,0.7509,0.7557,51052000000,-0.0068,-0.000172373,1292.99,5082.3,Bull
8/24/2006,0.7557,0.7618,0.7553,0.7573,54265000000,0.0065,0.000918535,1296.06,4987.8,Bear
8/25/2006,0.7574,0.7607,0.7545,0.7563,44656000000,-0.0062,-0.000573856,1295.09,5023.6,Bear
8/27/2006,0.7562,0.7572,0.7549,0.7561,4304000000,-0.0023,-0.000114862,1295.09,5023.6,Bear
8/28/2006,0.7562,0.7581,0.7489,0.7509,44925000000,-0.0092,-0.002997134,1301.78,5024.2,Bear
8/29/2006,0.7509,0.7519,0.7462,0.7467,53800000000,-0.0057,-0.002435953,1304.28,5067.6,Bull
8/30/2006,0.7466,0.7559,0.7455,0.7541,57533000000,0.0104,0.004282789,1305.37,5067.3,Bull
