@relation whatever

@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute Range numeric
@attribute Change numeric
@attribute SP500 numeric
@attribute FTSE numeric
@attribute Class { Bear , Bull } 


@data
1.2087 , 1.2105 , 1.1935 , 1.1957 , 2.38609E+11 , 0 , 0 , 1270.2 , 5833.4 , Bear 
1.1953 , 1.1953 , 1.1903 , 1.1933 , 16364000000 , -0.005 , -0.000872589 , 1270.2 , 5833.4 , Bear 
1.1933 , 1.1949 , 1.188 , 1.191 , 1.50236E+11 , -0.0069 , -0.000837879 , 1280.19 , 5884.4 , Bull 
1.1906 , 1.1939 , 1.1865 , 1.192 , 2.11119E+11 , 0.0074 , 0.000364494 , 1280.19 , 5883.5 , Bull 
1.1925 , 1.1952 , 1.1888 , 1.1927 , 2.11879E+11 , 0.0064 , 0.000254964 , 1270.91 , 5826.7 , Bull 
1.1926 , 1.204 , 1.1904 , 1.1932 , 2.81623E+11 , 0.0136 , 0.000182025 , 1274.08 , 5890 , Bull 
1.1935 , 1.1986 , 1.1873 , 1.1968 , 2.17632E+11 , 0.0113 , 0.001308336 , 1265.48 , 5888.9 , Bear 
1.1967 , 1.1975 , 1.1953 , 1.1967 , 8030000000 , -0.0022 , -3.62895E-05 , 1265.48 , 5888.9 , Bull 
1.1967 , 1.2085 , 1.1954 , 1.2057 , 1.63765E+11 , 0.0131 , 0.00325397 , 1267.34 , 5896.9 , Bull 
1.2053 , 1.2256 , 1.2048 , 1.2215 , 2.18838E+11 , 0.0208 , 0.00565421 , 1272.43 , 5857.3 , Bear 
1.2216 , 1.2222 , 1.206 , 1.2076 , 1.7415E+11 , -0.0162 , -0.004970367 , 1258.6 , 5860.6 , Bull 
1.2078 , 1.2124 , 1.2052 , 1.2095 , 1.63152E+11 , 0.0072 , 0.000682768 , 1242.28 , 5765 , Bear 
1.2096 , 1.2136 , 1.202 , 1.2034 , 1.46203E+11 , -0.0116 , -0.002195866 , 1236.2 , 5707.6 , Bull 
1.203 , 1.2044 , 1.2015 , 1.2044 , 8473000000 , 0.0029 , 0.00036074 , 1236.2 , 5707.6 , Bull 
