Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
6/30/2006,1.7898,1.791,1.7662,1.7674,1.38E+11,0,0,1270.2,5833.4,Bear
7/2/2006,1.768,1.768,1.757,1.7622,9459000000,-0.011,-0.001279654,1270.2,5833.4,Bear
7/3/2006,1.7622,1.7655,1.7567,1.7613,86403000000,-0.0088,-0.000221862,1280.19,5884.4,Bear
7/4/2006,1.7613,1.7619,1.7497,1.7575,1.46E+11,-0.0122,-0.000938001,1280.19,5883.5,Bear
7/5/2006,1.7576,1.7607,1.7507,1.7533,1.25E+11,-0.01,-0.001039101,1270.91,5826.7,Bear
7/6/2006,1.7533,1.754,1.74,1.7422,1.60E+11,-0.014,-0.002758223,1274.08,5890,Bear
7/7/2006,1.7424,1.7439,1.7309,1.7379,1.26E+11,-0.013,-0.001073226,1265.48,5888.9,Bear
7/9/2006,1.7379,1.7388,1.7352,1.7377,3048000000,-0.0036,-5.00E-05,1265.48,5888.9,Bull
7/10/2006,1.7375,1.7589,1.7367,1.755,1.26E+11,0.0222,0.00430232,1267.34,5896.9,Bull
7/11/2006,1.755,1.7788,1.7548,1.7747,1.38E+11,0.024,0.004847829,1272.43,5857.3,Bear
7/12/2006,1.7747,1.7753,1.7524,1.7605,1.23E+11,-0.0229,-0.00348892,1258.6,5860.6,Bear
7/13/2006,1.7605,1.7645,1.7547,1.757,1.25E+11,-0.0098,-0.000864268,1242.28,5765,Bear
7/14/2006,1.7569,1.7636,1.7504,1.7519,1.13E+11,-0.0132,-0.001262449,1236.2,5707.6,Bull
7/16/2006,1.7515,1.7524,1.7495,1.7522,2578000000,0.0029,7.44E-05,1236.2,5707.6,Bear
7/17/2006,1.7522,1.7557,1.7455,1.7483,1.13E+11,-0.0102,-0.000967718,1234.49,5701,Bear
7/18/2006,1.7483,1.7485,1.734,1.7368,1.41E+11,-0.0145,-0.002866147,1236.86,5681.7,Bull
7/19/2006,1.7368,1.7455,1.728,1.7404,1.31E+11,0.0175,0.000899264,1259.81,5778,Bull
7/20/2006,1.7403,1.7616,1.7397,1.7535,1.80E+11,0.0219,0.003256696,1249.13,5770.9,Bear
7/21/2006,1.7535,1.757,1.7356,1.7388,1.18E+11,-0.0214,-0.003656139,1240.29,5719.7,Bull
7/23/2006,1.7387,1.7397,1.7355,1.739,5356000000,0.0042,5.00E-05,1240.29,5719.7,Bull
7/24/2006,1.739,1.7474,1.733,1.7435,1.17E+11,0.0144,0.00112237,1260.91,5833.9,Bear
7/25/2006,1.7435,1.746,1.7347,1.7374,1.38E+11,-0.0113,-0.001522135,1268.88,5851.2,Bull
7/26/2006,1.7374,1.7472,1.7335,1.7436,1.33E+11,0.0137,0.001547043,1268.4,5877.1,Bull
7/27/2006,1.7436,1.7596,1.7403,1.7547,1.52E+11,0.0193,0.002756016,1263.2,5929.5,Bull
7/28/2006,1.7546,1.7612,1.7514,1.7577,1.42E+11,0.0098,0.000741877,1278.55,5974.9,Bear
7/30/2006,1.7577,1.7577,1.7538,1.7551,2236000000,-0.0039,-0.000642887,1278.55,5974.9,Bull
