learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.03125,-8.084397349092695E-15,100.0,47.0,-7.461476074614773,108.0,-1.0
200.0,0.046875,-1.2126596023639042E-14,200.0,51.5,3.578528827037777,231.0,-1.0
300.0,0.078125,-2.0210993372731736E-14,300.0,55.00000000000001,7.6070218663381635,361.0,-1.0
400.0,0.09375,-2.4253192047278085E-14,400.0,46.5,-4.024888197550057,506.0,-1.0
500.0,0.09375,-2.4253192047278085E-14,500.0,44.0,-13.624835142538295,623.0,-1.0
600.0,0.109375,-2.8295390721824433E-14,600.0,55.50000000000001,-5.37532559791616,724.0,-1.0
700.0,0.109375,-2.8295390721824433E-14,700.0,57.99999999999999,1.0250972074938316,826.0,-1.0
800.0,0.109375,-2.8295390721824433E-14,800.0,52.5,0.3147953830010612,932.0,-1.0
900.0,0.125,-3.233758939637078E-14,900.0,49.0,-1.715197447147985,1085.0,-1.0
1000.0,0.125,-3.233758939637078E-14,1000.0,52.0,4.771352048407889,1260.0,-1.0
1100.0,0.140625,-3.637978807091713E-14,1100.0,56.99999999999999,5.536028119507908,1470.0,-1.0
1200.0,0.140625,-3.637978807091713E-14,1200.0,50.0,-3.3591731266149845,1783.0,-1.0
1300.0,0.140625,-3.637978807091713E-14,1300.0,45.0,-8.310358408822363,1932.0,-1.0
