learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.3125,-8.084397349092696E-14,200.0,52.5,4.637622967275649,314.0,-1.0,10.0,0.0,1889.7,20.92794516642494,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
395.0,1.0,-2.5870071517096625E-13,395.0,46.0,-0.5586592178770955,2020.0,-1.0,10.0,0.0,12106.100000000002,25.470004144308813,-72.60000000000001,7.138627319029899,20.6,2.0396078054371136,10.8,1.0198039027185568,10.8,1.0198039027185568,6.0,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.03125,-8.084397349092695E-15,200.0,56.49999999999999,12.99999999999999,200.0,-1.0,10.0,0.0,1204.9,15.773712308775002,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.046875,-1.2126596023639042E-14,400.0,50.5,0.8612056879631647,400.0,-1.0,10.0,0.0,2400.2999999999997,23.172804942192236,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.109375,-2.8295390721824433E-14,600.0,45.5,1.1068771547813456,600.0,-1.0,10.0,0.0,3614.8,25.552473244069517,-13.100000000000001,1.0692676621563626,3.5999999999999996,0.30550504633038933,2.3000000000000003,0.15275252316519466,2.3000000000000003,0.15275252316519466,1.2999999999999998,0.15275252316519466,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.171875,-4.446418542000982E-14,800.0,51.0,0.4065040650406508,800.0,-1.0,10.0,0.0,4827.0,28.281521254070558,-25.0,3.1304951684997055,6.999999999999998,0.8944271909999156,3.999999999999999,0.4472135954999578,3.999999999999999,0.4472135954999578,2.8,0.41633319989322654,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.21875,-5.6590781443648867E-14,1000.0,55.50000000000001,11.530815109343946,1000.0,-1.0,10.0,0.0,6025.4,26.34396409890587,-31.299999999999994,2.2012622641465396,8.8,0.6289320754704404,4.9,0.3144660377352202,4.9,0.3144660377352202,3.5999999999999996,0.3055050463303893,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.265625,-6.871737746728791E-14,1200.0,53.0,4.665314401622722,1200.0,-1.0,10.0,0.0,7211.7,17.182064291968313,-41.800000000000004,3.6447831820897716,11.799999999999999,1.0413666234542205,6.3999999999999995,0.5206833117271102,6.3999999999999995,0.5206833117271102,3.8000000000000007,0.3265986323710905,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.296875,-7.680177481638061E-14,1400.0,54.0,7.070707070707057,1400.0,-1.0,10.0,0.0,8405.699999999999,17.89230126184008,-46.7,4.1016256939576206,13.2,1.1718930554164628,7.1,0.5859465277082314,7.1,0.5859465277082314,4.3,0.36666666666666664,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,0.34375,-8.892837084001965E-14,1600.0,50.5,0.342258908798052,1600.0,-1.0,10.0,0.0,9599.2,16.29710267365203,-53.0,4.173993557999607,15.0,1.1925695879998877,8.0,0.5962847939999438,8.0,0.5962847939999438,4.8,0.3265986323710904,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,0.390625,-1.010549668636587E-13,1800.0,54.0,9.090909090909099,1800.0,-1.0,10.0,0.0,10802.4,19.22278740338029,-62.099999999999994,5.720236980327922,17.599999999999998,1.6343534229508352,9.299999999999999,0.8171767114754176,9.299999999999999,0.8171767114754176,5.4,0.39999999999999997,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.4375,-1.1318156288729775E-13,2000.0,49.0,-2.0918826944249744,2000.0,-1.0,10.0,0.0,11989.300000000001,24.99779990319139,-71.9,7.233333333333334,20.400000000000002,2.0666666666666664,10.700000000000001,1.0333333333333332,10.700000000000001,1.0333333333333332,5.9,0.4818944098266986,0.0,0.0,0.0,0.0,1.0,0.0
2020.0,0.4375,-1.1318156288729775E-13,2020.0,51.0,2.0000000000000018,2020.0,-1.0,10.0,0.0,12106.100000000002,25.470004144308813,-72.60000000000001,7.138627319029899,20.6,2.0396078054371136,10.8,1.0198039027185568,10.8,1.0198039027185568,6.0,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
