learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
172.0,0.21875,-5.6590781443648867E-14,172.0,48.837209302325576,-5.935050391937297,2020.0,-1.0,0.0,157.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
200.0,0.015625,-4.042198674546348E-15,200.0,52.5,5.000000000000004,200.0,-1.0,0.0,57.0
400.0,0.03125,-8.084397349092695E-15,400.0,52.5,5.01899620075985,400.0,-1.0,0.0,0.0
600.0,0.0625,-1.616879469818539E-14,600.0,41.5,-18.49301195057727,600.0,-1.0,0.0,99.0
800.0,0.078125,-2.021099337273174E-14,800.0,58.5,-0.9732360097323608,800.0,-1.0,0.0,1.0
1000.0,0.109375,-2.8295390721824433E-14,1000.0,49.5,0.7858546168958749,1000.0,-1.0,0.0,0.0
1200.0,0.109375,-2.8295390721824433E-14,1200.0,52.0,6.0665362035225,1200.0,-1.0,0.0,0.0
1400.0,0.125,-3.233758939637078E-14,1400.0,54.0,1.2875536480686707,1400.0,-1.0,0.0,0.0
1600.0,0.140625,-3.637978807091713E-14,1600.0,51.5,-2.645502645502636,1600.0,-1.0,0.0,0.0
1800.0,0.171875,-4.446418542000983E-14,1800.0,49.5,-2.1646773214647066,1800.0,-1.0,0.0,0.0
2000.0,0.1875,-4.8506384094556176E-14,2000.0,53.0,3.302129410554472,2000.0,-1.0,0.0,0.0
2020.0,0.1875,-4.8506384094556176E-14,2020.0,51.5,3.0000000000000027,2020.0,-1.0,0.0,0.0
