learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,48.5,-1.8994855559952621,205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.09375,-1.2126596023639043E-13,400.0,44.5,-7.7669902912621325,405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.109375,-1.4147695360912217E-13,600.0,51.0,-7.162383816293044,605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.125,-1.6168794698185392E-13,800.0,59.0,0.0,805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.140625,-1.8189894035458566E-13,1000.0,50.5,0.0,1005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.15625,-2.021099337273174E-13,1200.0,46.0,0.0,1205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.171875,-2.2232092710004914E-13,1400.0,54.0,0.0,1405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.171875,-2.2232092710004914E-13,1600.0,49.0,0.0,1605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.1875,-2.4253192047278086E-13,1800.0,53.5,0.0,1805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,49.5,2.321083172147004,2005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2170.0,0.203125,-2.627429138455126E-13,2170.0,47.5,1.6853932584269573,2175.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.0625,-8.084397349092696E-14,200.0,48.5,-1.8994855559952621,205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.09375,-1.2126596023639043E-13,400.0,44.5,-7.7669902912621325,405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.109375,-1.4147695360912217E-13,600.0,51.0,-7.162383816293044,605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.125,-1.6168794698185392E-13,800.0,59.0,0.0,805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.140625,-1.8189894035458566E-13,1000.0,50.5,0.0,1005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.15625,-2.021099337273174E-13,1200.0,46.0,0.0,1205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.171875,-2.2232092710004914E-13,1400.0,54.0,0.0,1405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.171875,-2.2232092710004914E-13,1600.0,49.0,0.0,1605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.1875,-2.4253192047278086E-13,1800.0,53.5,0.0,1805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,49.5,2.321083172147004,2005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2170.0,0.21875,-2.829539072182443E-13,2170.0,47.5,1.6853932584269573,2175.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,48.5,-1.8994855559952621,205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.09375,-1.2126596023639043E-13,400.0,44.5,-7.7669902912621325,405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.125,-1.6168794698185392E-13,600.0,51.0,-7.162383816293044,605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.125,-1.6168794698185392E-13,800.0,59.0,0.0,805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.140625,-1.8189894035458566E-13,1000.0,50.5,0.0,1005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.15625,-2.021099337273174E-13,1200.0,46.0,0.0,1205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.171875,-2.2232092710004914E-13,1400.0,54.0,0.0,1405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.1875,-2.4253192047278086E-13,1600.0,49.0,0.0,1605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.203125,-2.627429138455126E-13,1800.0,53.5,0.0,1805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,49.5,2.321083172147004,2005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2170.0,0.21875,-2.829539072182443E-13,2170.0,47.5,1.6853932584269573,2175.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,48.5,-1.8994855559952621,205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.09375,-1.2126596023639043E-13,400.0,44.5,-7.7669902912621325,405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.125,-1.6168794698185392E-13,600.0,51.0,-7.162383816293044,605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.140625,-1.8189894035458566E-13,800.0,59.0,0.0,805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.140625,-1.8189894035458566E-13,1000.0,50.5,0.0,1005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.171875,-2.2232092710004914E-13,1200.0,46.0,0.0,1205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.171875,-2.2232092710004914E-13,1400.0,54.0,0.0,1405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.1875,-2.4253192047278086E-13,1600.0,49.0,0.0,1605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.203125,-2.627429138455126E-13,1800.0,53.5,0.0,1805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,49.5,2.321083172147004,2005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2170.0,0.21875,-2.829539072182443E-13,2170.0,47.5,1.6853932584269573,2175.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,48.5,-1.8994855559952621,205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.09375,-1.2126596023639043E-13,400.0,44.5,-7.7669902912621325,405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.125,-1.6168794698185392E-13,600.0,51.0,-7.162383816293044,605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.125,-1.6168794698185392E-13,800.0,59.0,0.0,805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.140625,-1.8189894035458566E-13,1000.0,50.5,0.0,1005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.15625,-2.021099337273174E-13,1200.0,46.0,0.0,1205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
