learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.234375,-6.063298011819522E-14,200.0,45.0,-10.297804070991667,206.0,-1.0,10.0,0.0,1239.1,16.764015695000474,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.296875,-7.680177481638061E-14,400.0,48.5,-1.1787819253438125,406.0,-1.0,10.0,0.0,2436.7,23.595691697143916,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.515625,-1.3339255626002948E-13,600.0,41.5,-12.133410005750424,606.0,-1.0,10.0,0.0,3651.9999999999995,25.39991251078544,-12.4,0.9333333333333332,3.4,0.26666666666666666,2.2,0.1333333333333333,2.2,0.1333333333333333,1.2,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.71875,-1.8594113902913198E-13,800.0,49.5,-6.248685041026709,806.0,-1.0,10.0,0.0,4862.5,27.084743553028773,-27.799999999999997,3.791217922163448,7.8,1.0832051206181281,4.4,0.5416025603090641,4.4,0.5416025603090641,2.5999999999999996,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.8125,-2.1019433107641007E-13,1000.0,56.00000000000001,12.00000000000001,1007.0,-1.0,10.0,0.0,6067.8,26.742309382532966,-36.2,3.492213560989012,10.200000000000003,0.9977753031397177,5.600000000000001,0.49888765156985887,5.600000000000001,0.49888765156985887,3.1,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.875,-2.2636312577459547E-13,1200.0,43.5,-10.286941245364039,1207.0,-1.0,10.0,0.0,7251.8,17.658362828353525,-42.5,4.578330603081336,12.0,1.3080944580232388,6.5,0.6540472290116194,6.5,0.6540472290116194,3.5,0.30731814857642964,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.9375,-2.4253192047278086E-13,1400.0,46.0,-8.520900321543396,1407.0,-1.0,10.0,0.0,8449.3,18.771757746382942,-50.89999999999999,4.048182033676076,14.400000000000002,1.1566234381931648,7.7,0.5783117190965824,7.7,0.5783117190965824,4.1,0.27688746209726917,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,1.0,-2.5870071517096625E-13,1600.0,43.5,-11.992071357779967,1607.0,-1.0,10.0,0.0,9640.1,16.631596435700285,-62.1,4.433333333333333,17.6,1.2666666666666668,9.3,0.6333333333333334,9.3,0.6333333333333334,4.6000000000000005,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,1.046875,-2.7082731119460527E-13,1800.0,47.5,-6.490872210953352,1807.0,-1.0,10.0,0.0,10843.9,19.262196713309226,-69.8,4.689941956523081,19.8,1.3399834161494522,10.4,0.6699917080747261,10.4,0.6699917080747261,4.9,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,1.078125,-2.7891170854369797E-13,2000.0,45.5,-8.565737051792825,2008.0,-1.0,10.0,0.0,12038.1,25.444689469950838,-78.2,4.804627399127266,22.2,1.3727506854649334,11.6,0.6863753427324667,11.6,0.6863753427324667,5.2,0.24944382578492943,0.0,0.0,0.0,0.0,1.0,0.0
2165.0,1.109375,-2.8699610589279067E-13,2165.0,46.5,-6.404136833731119,2175.0,-1.0,10.0,0.0,13038.3,32.902228901195606,-84.50000000000001,5.833333333333333,24.0,1.6666666666666665,12.5,0.8333333333333333,12.5,0.8333333333333333,5.500000000000001,0.22360679774997896,0.0,0.0,0.0,0.0,1.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.28125,-7.275957614183426E-14,200.0,45.0,-10.297804070991667,206.0,-1.0,10.0,0.0,1239.1,16.764015695000474,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.34375,-8.892837084001965E-14,400.0,48.5,-1.1787819253438125,406.0,-1.0,10.0,0.0,2436.7,23.595691697143916,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.515625,-1.3339255626002948E-13,600.0,41.5,-12.133410005750424,606.0,-1.0,10.0,0.0,3651.9999999999995,25.39991251078544,-12.4,0.9333333333333332,3.4,0.26666666666666666,2.2,0.1333333333333333,2.2,0.1333333333333333,1.2,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.71875,-1.8594113902913198E-13,800.0,49.5,-6.248685041026709,806.0,-1.0,10.0,0.0,4862.5,27.084743553028773,-27.799999999999997,3.791217922163448,7.8,1.0832051206181281,4.4,0.5416025603090641,4.4,0.5416025603090641,2.5999999999999996,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.796875,-2.0615213240186372E-13,1000.0,56.00000000000001,12.00000000000001,1007.0,-1.0,10.0,0.0,6067.8,26.742309382532966,-36.2,3.492213560989012,10.200000000000003,0.9977753031397177,5.600000000000001,0.49888765156985887,5.600000000000001,0.49888765156985887,3.1,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
