learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
3.0,0.21875,-2.8295390721824435E-13,3.0,33.33333333333333,-50.000000000000014,2175.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.03125,-4.042198674546348E-14,200.0,47.5,-4.12534708449029,200.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.03125,-4.042198674546348E-14,400.0,45.5,-7.389162561576339,400.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.0625,-8.084397349092696E-14,600.0,50.5,-7.375271149674602,600.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.0625,-8.084397349092696E-14,800.0,59.0,0.0,800.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.078125,-1.010549668636587E-13,1000.0,50.5,0.0,1000.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.09375,-1.2126596023639043E-13,1200.0,46.5,0.0,1200.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.09375,-1.2126596023639043E-13,1400.0,54.0,0.0,1400.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.109375,-1.4147695360912217E-13,1600.0,48.5,0.0,1600.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.125,-1.6168794698185392E-13,1800.0,54.0,0.0,1800.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.140625,-1.8189894035458566E-13,2000.0,49.5,2.321083172147004,2000.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2175.0,0.140625,-1.8189894035458566E-13,2175.0,47.5,1.6853932584269573,2175.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
