learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5.0,1.109375,-2.8699610589279067E-13,5.0,40.0,-15.384615384615378,2175.0,-1.0,10.0,0.0,13038.3,32.902228901195606,-84.50000000000001,5.833333333333333,24.0,1.6666666666666665,12.5,0.8333333333333333,12.5,0.8333333333333333,5.500000000000001,0.22360679774997896,0.0,0.0,0.0,0.0,1.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.03125,-8.084397349092695E-15,200.0,44.5,-11.625100563153664,200.0,-1.0,10.0,0.0,1204.9,15.773712308775002,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.046875,-1.2126596023639042E-14,400.0,49.0,-1.1904761904761914,400.0,-1.0,10.0,0.0,2400.2999999999997,23.172804942192236,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.09375,-2.4253192047278085E-14,600.0,41.5,-11.322549952426272,600.0,-1.0,10.0,0.0,3614.8,25.552473244069517,-12.4,0.9333333333333332,3.4,0.26666666666666666,2.2,0.1333333333333333,2.2,0.1333333333333333,1.2,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.171875,-4.446418542000982E-14,800.0,48.0,-9.106168694922365,800.0,-1.0,10.0,0.0,4827.0,28.281521254070558,-27.799999999999997,3.791217922163448,7.8,1.0832051206181281,4.4,0.5416025603090641,4.4,0.5416025603090641,2.5999999999999996,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.21875,-5.6590781443648867E-14,1000.0,57.99999999999999,16.075532021180923,1000.0,-1.0,10.0,0.0,6025.4,26.34396409890587,-36.2,3.492213560989012,10.200000000000003,0.9977753031397177,5.600000000000001,0.49888765156985887,5.600000000000001,0.49888765156985887,3.1,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.25,-6.467517879274156E-14,1200.0,44.0,-8.875279478954013,1200.0,-1.0,10.0,0.0,7211.7,17.182064291968313,-41.800000000000004,4.572380853195265,11.8,1.3063945294843617,6.4,0.6531972647421809,6.4,0.6531972647421809,3.4000000000000004,0.3055050463303893,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.296875,-7.680177481638061E-14,1400.0,45.5,-9.790491539081394,1400.0,-1.0,10.0,0.0,8405.699999999999,17.89230126184008,-50.89999999999999,4.048182033676076,14.400000000000002,1.1566234381931648,7.7,0.5783117190965824,7.7,0.5783117190965824,4.1,0.27688746209726917,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,0.328125,-8.48861721654733E-14,1600.0,43.0,-13.084019442515626,1600.0,-1.0,10.0,0.0,9599.2,16.29710267365203,-62.1,4.433333333333333,17.6,1.2666666666666668,9.3,0.6333333333333334,9.3,0.6333333333333334,4.6000000000000005,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,0.359375,-9.2970569514566E-14,1800.0,48.0,-5.691056910569111,1800.0,-1.0,10.0,0.0,10802.4,19.22278740338029,-69.8,4.689941956523081,19.8,1.3399834161494522,10.4,0.6699917080747261,10.4,0.6699917080747261,4.9,0.2333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.40625,-1.0509716553820505E-13,2000.0,45.5,-8.609007572738134,2000.0,-1.0,10.0,0.0,11989.300000000001,24.99779990319139,-78.2,4.804627399127266,22.2,1.3727506854649334,11.6,0.6863753427324667,11.6,0.6863753427324667,5.2,0.24944382578492943,0.0,0.0,0.0,0.0,1.0,0.0
2175.0,0.4375,-1.1318156288729775E-13,2175.0,46.5,-6.404136833731119,2175.0,-1.0,10.0,0.0,13038.3,32.902228901195606,-84.50000000000001,5.833333333333333,24.0,1.6666666666666665,12.5,0.8333333333333333,12.5,0.8333333333333333,5.500000000000001,0.22360679774997896,0.0,0.0,0.0,0.0,1.0,0.0
