learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.59375,-1.5360354963276122E-13,200.0,47.5,-5.273711650290753,204.0,-1.0,10.0,0.0,1227.5000000000002,15.857875715940718,-18.0,1.8073922282301278,5.0,0.5163977794943222,3.0,0.2581988897471611,3.0,0.2581988897471611,2.0,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.6875,-1.778567416800393E-13,400.0,51.0,0.8598887202832526,404.0,-1.0,10.0,0.0,2423.9,22.972181244085444,-19.4,2.2861904265976327,5.400000000000001,0.6531972647421808,3.2000000000000006,0.3265986323710904,3.2000000000000006,0.3265986323710904,2.2000000000000006,0.3265986323710904,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.75,-1.940255363782247E-13,600.0,54.0,7.898688557413153,604.0,-1.0,10.0,0.0,3638.3999999999996,25.565254198271187,-22.9,2.9606680927715545,6.3999999999999995,0.8459051693633013,3.6999999999999997,0.42295258468165065,3.6999999999999997,0.42295258468165065,2.5,0.30731814857642953,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.796875,-2.0615213240186375E-13,800.0,47.5,-7.559926244622013,804.0,-1.0,10.0,0.0,4851.2,27.31535994434062,-27.099999999999998,3.1391789443171985,7.6000000000000005,0.8969082698049139,4.3,0.44845413490245706,4.3,0.44845413490245706,3.0,0.2981423969999719,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.859375,-2.2232092710004914E-13,1000.0,50.0,3.297553428101722,1004.0,-1.0,10.0,0.0,6048.4,26.810114177716944,-29.9,3.139178944317199,8.4,0.8969082698049139,4.7,0.44845413490245695,4.7,0.44845413490245695,3.4000000000000004,0.339934634239519,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.9375,-2.4253192047278086E-13,1200.0,54.50000000000001,8.229124647035107,1204.0,-1.0,10.0,0.0,7234.599999999999,17.87437644600037,-39.0,3.7623869492059896,11.0,1.0749676997731399,6.0,0.5374838498865699,6.0,0.5374838498865699,4.1,0.348010216963685,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.984375,-2.546585164964199E-13,1400.0,48.0,-2.685624012638242,1404.0,-1.0,10.0,0.0,8430.4,18.669166499278358,-48.8,3.332666599986663,13.8,0.9521904571390467,7.4,0.47609522856952335,7.4,0.47609522856952335,4.7,0.334995854037363,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,1.046875,-2.7082731119460527E-13,1600.0,47.0,-6.095485937343628,1604.0,-1.0,10.0,0.0,9622.0,17.099707599839196,-64.9,3.6223074291273387,18.400000000000002,1.034944979750668,9.700000000000001,0.517472489875334,9.700000000000001,0.517472489875334,5.3,0.3,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,1.09375,-2.829539072182443E-13,1800.0,57.99999999999999,15.865384615384603,1804.0,-1.0,10.0,0.0,10824.3,19.410220675372752,-76.80000000000001,3.7912179221634488,21.799999999999997,1.083205120618128,11.399999999999999,0.541602560309064,11.399999999999999,0.541602560309064,5.7,0.33499585403736304,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,1.140625,-2.950805032418833E-13,2000.0,46.5,-9.563792750358392,2004.0,-1.0,10.0,0.0,12011.8,24.990131385542238,-88.00000000000001,4.894441291460707,24.999999999999996,1.3984117975602022,12.999999999999998,0.6992058987801011,12.999999999999998,0.6992058987801011,6.300000000000001,0.3,0.0,0.0,0.0,0.0,1.0,0.0
2183.0,1.171875,-3.03164900590976E-13,2183.0,44.5,-10.33797216699801,2187.0,-1.0,10.0,0.0,13109.5,33.96149780756627,-95.0,5.619410803436404,27.0,1.6055459438389725,14.0,0.8027729719194863,14.0,0.8027729719194863,6.5,0.3073181485764296,0.0,0.0,0.0,0.0,1.0,0.0
