learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
200.0,0.046875,-1.2126596023639044E-14,200.0,50.5,0.26193834374369696,203.0,-1.0,0.0,5.0
400.0,0.0625,-1.616879469818539E-14,400.0,47.0,-4.57774269928966,403.0,-1.0,0.0,0.0
600.0,0.09375,-2.4253192047278085E-14,600.0,48.5,-1.1986637846335222,603.0,-1.0,0.0,0.0
800.0,0.109375,-2.8295390721824433E-14,800.0,47.5,-9.672028410277838,803.0,-1.0,0.0,0.0
1000.0,0.125,-3.233758939637078E-14,1000.0,50.0,2.723735408560303,1003.0,-1.0,0.0,0.0
1200.0,0.125,-3.233758939637078E-14,1200.0,54.0,7.667603372139705,1203.0,-1.0,0.0,0.0
1400.0,0.140625,-3.637978807091713E-14,1400.0,51.5,5.6052938886726436,1403.0,-1.0,0.0,0.0
1600.0,0.15625,-4.042198674546348E-14,1600.0,51.0,2.0000000000000018,1603.0,-1.0,0.0,0.0
1800.0,0.171875,-4.446418542000983E-14,1800.0,51.5,2.020202020202022,1803.0,-1.0,0.0,0.0
2000.0,0.1875,-4.8506384094556176E-14,2000.0,53.5,2.7196652719665297,2003.0,-1.0,0.0,0.0
2184.0,0.203125,-5.2548582769102524E-14,2184.0,41.5,-14.57109283196239,2187.0,-1.0,0.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
200.0,0.046875,-1.2126596023639044E-14,200.0,50.5,0.26193834374369696,203.0,-1.0,0.0,5.0
400.0,0.078125,-2.021099337273174E-14,400.0,47.0,-4.57774269928966,403.0,-1.0,0.0,0.0
600.0,0.09375,-2.4253192047278088E-14,600.0,48.5,-1.1986637846335222,603.0,-1.0,0.0,0.0
800.0,0.109375,-2.8295390721824436E-14,800.0,47.5,-9.672028410277838,803.0,-1.0,0.0,0.0
1000.0,0.140625,-3.637978807091713E-14,1000.0,50.0,2.723735408560303,1003.0,-1.0,0.0,0.0
1200.0,0.171875,-4.446418542000983E-14,1200.0,54.0,7.667603372139705,1203.0,-1.0,0.0,0.0
1400.0,0.171875,-4.446418542000983E-14,1400.0,51.5,5.6052938886726436,1403.0,-1.0,0.0,0.0
1600.0,0.1875,-4.8506384094556176E-14,1600.0,51.0,2.0000000000000018,1603.0,-1.0,0.0,0.0
1800.0,0.203125,-5.2548582769102524E-14,1800.0,51.5,2.020202020202022,1803.0,-1.0,0.0,0.0
2000.0,0.21875,-5.659078144364887E-14,2000.0,53.5,2.7196652719665297,2003.0,-1.0,0.0,0.0
2184.0,0.234375,-6.063298011819522E-14,2184.0,41.5,-14.57109283196239,2187.0,-1.0,0.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
200.0,0.046875,-1.2126596023639044E-14,200.0,50.5,0.26193834374369696,203.0,-1.0,0.0,5.0
400.0,0.0625,-1.616879469818539E-14,400.0,47.0,-4.57774269928966,403.0,-1.0,0.0,0.0
600.0,0.09375,-2.4253192047278085E-14,600.0,48.5,-1.1986637846335222,603.0,-1.0,0.0,0.0
800.0,0.109375,-2.8295390721824433E-14,800.0,47.5,-9.672028410277838,803.0,-1.0,0.0,0.0
1000.0,0.125,-3.233758939637078E-14,1000.0,50.0,2.723735408560303,1003.0,-1.0,0.0,0.0
1200.0,0.15625,-4.042198674546348E-14,1200.0,54.0,7.667603372139705,1203.0,-1.0,0.0,0.0
1400.0,0.171875,-4.446418542000983E-14,1400.0,51.5,5.6052938886726436,1403.0,-1.0,0.0,0.0
1600.0,0.1875,-4.8506384094556176E-14,1600.0,51.0,2.0000000000000018,1603.0,-1.0,0.0,0.0
1800.0,0.203125,-5.2548582769102524E-14,1800.0,51.5,2.020202020202022,1803.0,-1.0,0.0,0.0
2000.0,0.21875,-5.659078144364887E-14,2000.0,53.5,2.7196652719665297,2003.0,-1.0,0.0,0.0
2184.0,0.234375,-6.063298011819522E-14,2184.0,41.5,-14.57109283196239,2187.0,-1.0,0.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
200.0,0.046875,-1.2126596023639044E-14,200.0,50.5,0.26193834374369696,203.0,-1.0,0.0,5.0
400.0,0.078125,-2.021099337273174E-14,400.0,47.0,-4.57774269928966,403.0,-1.0,0.0,0.0
600.0,0.09375,-2.4253192047278088E-14,600.0,48.5,-1.1986637846335222,603.0,-1.0,0.0,0.0
