learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
85.0,1.109375,-2.8699610589279067E-13,85.0,37.64705882352941,-25.312934631432555,2187.0,-1.0,10.0,0.0,13109.5,33.96149780756627,-95.0,5.619410803436404,27.0,1.6055459438389725,14.0,0.8027729719194863,14.0,0.8027729719194863,6.5,0.3073181485764296,0.0,0.0,0.0,0.0,1.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.078125,-2.021099337273174E-14,200.0,48.5,-3.6217303822937654,200.0,-1.0,10.0,0.0,1204.9,15.773712308775002,-18.0,1.8073922282301278,5.0,0.5163977794943222,3.0,0.2581988897471611,3.0,0.2581988897471611,2.0,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.109375,-2.8295390721824433E-14,400.0,51.0,0.8598887202832526,400.0,-1.0,10.0,0.0,2400.2999999999997,23.172804942192236,-19.4,2.2861904265976327,5.400000000000001,0.6531972647421808,3.2000000000000006,0.3265986323710904,3.2000000000000006,0.3265986323710904,2.2000000000000006,0.3265986323710904,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.140625,-3.637978807091713E-14,600.0,54.0,8.000000000000007,600.0,-1.0,10.0,0.0,3614.8,25.552473244069517,-22.9,2.9606680927715545,6.3999999999999995,0.8459051693633013,3.6999999999999997,0.42295258468165065,3.6999999999999997,0.42295258468165065,2.5,0.30731814857642953,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.1875,-4.8506384094556176E-14,800.0,47.0,-8.662224500256304,800.0,-1.0,10.0,0.0,4827.0,28.281521254070558,-27.099999999999998,3.1391789443171985,7.6000000000000005,0.8969082698049139,4.3,0.44845413490245706,4.3,0.44845413490245706,3.0,0.2981423969999719,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.21875,-5.659078144364887E-14,1000.0,51.0,5.432789732702887,1000.0,-1.0,10.0,0.0,6025.4,26.34396409890587,-29.9,3.139178944317199,8.4,0.8969082698049139,4.7,0.44845413490245695,4.7,0.44845413490245695,3.4000000000000004,0.339934634239519,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.25,-6.467517879274156E-14,1200.0,54.0,7.3047858942065504,1200.0,-1.0,10.0,0.0,7211.7,17.182064291968313,-39.0,3.7623869492059896,11.0,1.0749676997731399,6.0,0.5374838498865699,6.0,0.5374838498865699,4.1,0.348010216963685,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.296875,-7.680177481638061E-14,1400.0,48.0,-3.297576479936444,1400.0,-1.0,10.0,0.0,8405.699999999999,17.89230126184008,-48.8,3.332666599986663,13.8,0.9521904571390467,7.4,0.47609522856952335,7.4,0.47609522856952335,4.7,0.334995854037363,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,0.375,-9.701276818911235E-14,1600.0,47.0,-6.000000000000005,1600.0,-1.0,10.0,0.0,9599.2,16.29710267365203,-64.2,3.9322032274823004,18.2,1.1234866364235143,9.6,0.5617433182117572,9.6,0.5617433182117572,5.2,0.3265986323710904,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,0.40625,-1.0509716553820505E-13,1800.0,57.99999999999999,15.823228780438914,1800.0,-1.0,10.0,0.0,10802.4,19.22278740338029,-76.80000000000001,3.7912179221634488,21.799999999999997,1.083205120618128,11.399999999999999,0.541602560309064,11.399999999999999,0.541602560309064,5.7,0.33499585403736304,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.46875,-1.2126596023639043E-13,2000.0,47.5,-6.750711671411144,2000.0,-1.0,10.0,0.0,11989.300000000001,24.99779990319139,-88.00000000000001,4.894441291460707,24.999999999999996,1.3984117975602022,12.999999999999998,0.6992058987801011,12.999999999999998,0.6992058987801011,6.300000000000001,0.3,0.0,0.0,0.0,0.0,1.0,0.0
2187.0,0.5,-1.2935035758548313E-13,2187.0,44.5,-10.33797216699801,2187.0,-1.0,10.0,0.0,13109.5,33.96149780756627,-95.0,5.619410803436404,27.0,1.6055459438389725,14.0,0.8027729719194863,14.0,0.8027729719194863,6.5,0.3073181485764296,0.0,0.0,0.0,0.0,1.0,0.0
