learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
73.0,0.09375,-2.4253192047278088E-14,73.0,45.20547945205479,-11.280487804878032,2187.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.0,0.0,200.0,51.5,1.5428339423467197,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,46.5,-5.211406096361842,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,49.5,-1.0000000000000009,600.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,46.5,-12.347753044939108,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,50.5,4.162633107454011,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,53.5,6.551446945337634,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,52.5,6.293154468336957,1400.0,-1.0
1600.0,0.03125,-8.084397349092695E-15,1600.0,51.0,2.0000000000000018,1600.0,-1.0
1800.0,0.03125,-8.084397349092695E-15,1800.0,51.0,0.8197550855176597,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,52.5,1.493156366652838,2000.0,-1.0
2187.0,0.046875,-1.2126596023639042E-14,2187.0,41.5,-14.57109283196239,2187.0,-1.0
