learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
73.0,0.234375,-6.063298011819522E-14,73.0,45.20547945205479,-11.280487804878032,2187.0,-1.0,0.0,5.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
200.0,0.015625,-4.042198674546348E-15,200.0,51.5,1.5428339423467197,200.0,-1.0,0.0,5.0
400.0,0.03125,-8.084397349092695E-15,400.0,46.5,-5.211406096361842,400.0,-1.0,0.0,0.0
600.0,0.0625,-1.616879469818539E-14,600.0,49.5,-1.0000000000000009,600.0,-1.0,0.0,0.0
800.0,0.078125,-2.021099337273174E-14,800.0,46.5,-12.347753044939108,800.0,-1.0,0.0,0.0
1000.0,0.09375,-2.4253192047278088E-14,1000.0,50.5,4.162633107454011,1000.0,-1.0,0.0,0.0
1200.0,0.109375,-2.8295390721824436E-14,1200.0,53.5,6.551446945337634,1200.0,-1.0,0.0,0.0
1400.0,0.125,-3.233758939637078E-14,1400.0,52.5,6.293154468336957,1400.0,-1.0,0.0,0.0
1600.0,0.140625,-3.637978807091713E-14,1600.0,51.0,2.0000000000000018,1600.0,-1.0,0.0,0.0
1800.0,0.15625,-4.042198674546348E-14,1800.0,51.0,0.8197550855176597,1800.0,-1.0,0.0,0.0
2000.0,0.171875,-4.446418542000983E-14,2000.0,52.5,1.493156366652838,2000.0,-1.0,0.0,0.0
2187.0,0.1875,-4.8506384094556176E-14,2187.0,41.5,-14.57109283196239,2187.0,-1.0,0.0,0.0
