learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.0625,-8.084397349092696E-14,200.0,41.5,-9.509546986147523,205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.09375,-1.2126596023639043E-13,400.0,47.5,-4.104699583581201,405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.109375,-1.4147695360912217E-13,600.0,43.0,-14.768951978254297,605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.125,-1.6168794698185392E-13,800.0,44.5,-9.857482185273161,805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.140625,-1.8189894035458566E-13,1000.0,49.0,-4.476083171156414,1005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.15625,-2.021099337273174E-13,1200.0,48.0,-4.0000000000000036,1205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.171875,-2.2232092710004914E-13,1400.0,46.0,-7.989201079892008,1405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.171875,-2.2232092710004914E-13,1600.0,48.0,-4.881000403388462,1605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.1875,-2.4253192047278086E-13,1800.0,52.0,3.098819016856763,1805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,55.00000000000001,-3.6388760939658966,2005.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2182.0,0.203125,-2.627429138455126E-13,2182.0,50.0,0.0,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,41.5,-9.509546986147523,205.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.109375,-1.4147695360912217E-13,400.0,47.5,-4.104699583581201,405.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.125,-1.6168794698185392E-13,600.0,43.0,-14.768951978254297,605.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.140625,-1.8189894035458566E-13,800.0,44.5,-9.857482185273161,805.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
