learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.359375,-9.2970569514566E-14,200.0,47.5,-10.085971901866227,206.0,-1.0,10.0,0.0,1239.1,16.764015695000474,-7.5,1.1666666666666665,2.0,0.3333333333333333,1.5,0.16666666666666666,1.5,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.484375,-1.2530815891093678E-13,400.0,53.0,5.896486134748219,406.0,-1.0,10.0,0.0,2436.7,23.595691697143916,-11.7,2.6501572280401278,3.2,0.7571877794400365,2.1,0.37859388972001823,2.1,0.37859388972001823,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.640625,-1.6573014565640026E-13,600.0,49.5,-1.2429831595829957,606.0,-1.0,10.0,0.0,3651.9999999999995,25.39991251078544,-20.1,1.8223915910448851,5.6,0.5206833117271104,3.3,0.2603416558635552,3.3,0.2603416558635552,2.1,0.1795054935711501,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.75,-1.940255363782247E-13,800.0,53.0,2.4086378737541643,806.0,-1.0,10.0,0.0,4862.5,27.084743553028773,-29.9,2.9606680927715545,8.4,0.8459051693633013,4.7,0.42295258468165065,4.7,0.42295258468165065,2.9,0.1795054935711501,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.8125,-2.101943310764101E-13,1000.0,46.0,-9.01382860603614,1007.0,-1.0,10.0,0.0,6067.8,26.742309382532966,-36.9,3.4687493743743176,10.4,0.9910712498212338,5.7,0.4955356249106169,5.7,0.4955356249106169,3.4000000000000004,0.30550504633038933,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.875,-2.263631257745955E-13,1200.0,47.5,-5.421686746987957,1208.0,-1.0,10.0,0.0,7257.3,16.881975924373048,-46.7,4.359026394862861,13.2,1.24543611281796,7.1,0.62271805640898,7.1,0.62271805640898,4.0,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.921875,-2.3848972179823454E-13,1400.0,52.5,5.227454110135675,1408.0,-1.0,10.0,0.0,8455.4,18.396980428561907,-56.5,5.925931712960137,16.0,1.693123346560039,8.5,0.8465616732800195,8.5,0.8465616732800195,4.4,0.339934634239519,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,1.0,-2.5870071517096625E-13,1600.0,49.0,-2.0000000000000018,1608.0,-1.0,10.0,0.0,9645.3,16.45400998068392,-69.8,6.697926710723417,19.799999999999997,1.9136933459209766,10.399999999999999,0.9568466729604883,10.399999999999999,0.9568466729604883,5.0,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,1.046875,-2.7082731119460527E-13,1800.0,51.0,1.6755292465134883,1809.0,-1.0,10.0,0.0,10857.0,18.959020134079882,-76.1,7.600365488287754,21.6,2.171532996653644,11.3,1.085766498326822,11.3,1.085766498326822,5.600000000000001,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,1.078125,-2.7891170854369797E-13,2000.0,48.5,-6.426947716470349,2010.0,-1.0,10.0,0.0,12047.5,25.350542400508836,-83.80000000000001,8.425886039791635,23.8,2.407396011369038,12.4,1.203698005684519,12.4,1.203698005684519,6.0,0.33333333333333326,0.0,0.0,0.0,0.0,1.0,0.0
2177.0,1.125,-2.91038304567337E-13,2177.0,48.0,-4.0000000000000036,2187.0,-1.0,10.0,0.0,13109.5,33.96149780756627,-96.4,9.777752525219915,27.4,2.7936435786342613,14.2,1.3968217893171306,14.2,1.3968217893171306,6.2,0.38873012632301995,0.0,0.0,0.0,0.0,1.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.390625,-1.0105496686365869E-13,200.0,47.5,-10.085971901866227,206.0,-1.0,10.0,0.0,1239.1,16.764015695000474,-7.5,1.1666666666666665,2.0,0.3333333333333333,1.5,0.16666666666666666,1.5,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.515625,-1.3339255626002948E-13,400.0,53.0,5.896486134748219,406.0,-1.0,10.0,0.0,2436.7,23.595691697143916,-11.7,2.6501572280401278,3.2,0.7571877794400365,2.1,0.37859388972001823,2.1,0.37859388972001823,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.6875,-1.778567416800393E-13,600.0,49.5,-1.2429831595829957,606.0,-1.0,10.0,0.0,3651.9999999999995,25.39991251078544,-20.1,1.8223915910448851,5.6,0.5206833117271104,3.3,0.2603416558635552,3.3,0.2603416558635552,2.1,0.1795054935711501,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.78125,-2.021099337273174E-13,800.0,53.0,2.4086378737541643,806.0,-1.0,10.0,0.0,4862.5,27.084743553028773,-29.9,2.9606680927715545,8.4,0.8459051693633013,4.7,0.42295258468165065,4.7,0.42295258468165065,2.9,0.1795054935711501,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.875,-2.263631257745955E-13,1000.0,46.0,-9.01382860603614,1007.0,-1.0,10.0,0.0,6067.8,26.742309382532966,-36.9,3.4687493743743176,10.4,0.9910712498212338,5.7,0.4955356249106169,5.7,0.4955356249106169,3.4000000000000004,0.30550504633038933,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.9375,-2.4253192047278086E-13,1200.0,47.5,-5.421686746987957,1208.0,-1.0,10.0,0.0,7257.3,16.881975924373048,-46.7,4.359026394862861,13.2,1.24543611281796,7.1,0.62271805640898,7.1,0.62271805640898,4.0,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.984375,-2.546585164964199E-13,1400.0,52.5,5.227454110135675,1408.0,-1.0,10.0,0.0,8455.4,18.396980428561907,-56.5,5.925931712960137,16.0,1.693123346560039,8.5,0.8465616732800195,8.5,0.8465616732800195,4.4,0.339934634239519,0.0,0.0,0.0,0.0,1.0,0.0
