learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
200.0,0.046875,-1.2126596023639044E-14,200.0,42.5,-17.68317642243146,205.0,-1.0,0.0,105.0
400.0,0.078125,-2.021099337273174E-14,400.0,44.5,-11.917725347852388,405.0,-1.0,0.0,200.0
600.0,0.09375,-2.4253192047278088E-14,600.0,48.0,-4.891578416540594,605.0,-1.0,0.0,200.0
800.0,0.109375,-2.8295390721824436E-14,800.0,46.0,-12.126245847176069,805.0,-1.0,0.0,200.0
1000.0,0.140625,-3.637978807091713E-14,1000.0,49.5,-3.4836065573770525,1005.0,-1.0,0.0,111.0
1200.0,0.15625,-4.042198674546348E-14,1200.0,48.0,-4.0000000000000036,1205.0,-1.0,0.0,0.0
1400.0,0.171875,-4.446418542000983E-14,1400.0,46.0,-8.118930823906304,1405.0,-1.0,0.0,0.0
1600.0,0.1875,-4.8506384094556176E-14,1600.0,50.0,-1.9575856443719521,1605.0,-1.0,0.0,0.0
1800.0,0.203125,-5.2548582769102524E-14,1800.0,47.0,-6.73648172389487,1805.0,-1.0,0.0,0.0
2000.0,0.21875,-5.659078144364887E-14,2000.0,56.00000000000001,-1.6635859519408467,2005.0,-1.0,0.0,0.0
2182.0,0.234375,-6.063298011819522E-14,2182.0,50.0,0.0,2187.0,-1.0,0.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
200.0,0.046875,-1.2126596023639044E-14,200.0,42.5,-17.68317642243146,205.0,-1.0,0.0,105.0
400.0,0.078125,-2.021099337273174E-14,400.0,44.5,-11.917725347852388,405.0,-1.0,0.0,200.0
600.0,0.109375,-2.8295390721824433E-14,600.0,48.0,-4.891578416540594,605.0,-1.0,0.0,200.0
800.0,0.125,-3.233758939637078E-14,800.0,46.0,-12.126245847176069,805.0,-1.0,0.0,200.0
1000.0,0.140625,-3.637978807091713E-14,1000.0,49.5,-3.4836065573770525,1005.0,-1.0,0.0,111.0
1200.0,0.171875,-4.446418542000983E-14,1200.0,48.0,-4.0000000000000036,1205.0,-1.0,0.0,0.0
