learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
22.0,0.21875,-2.8295390721824435E-13,22.0,27.27272727272727,-15.032679738562086,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.03125,-4.042198674546348E-14,200.0,42.0,-7.967237527922574,200.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.046875,-6.063298011819522E-14,400.0,47.5,-4.104699583581201,400.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.0625,-8.084397349092696E-14,600.0,42.0,-16.000000000000004,600.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.078125,-1.010549668636587E-13,800.0,45.5,-8.15638023417344,800.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.078125,-1.010549668636587E-13,1000.0,49.0,-5.111294311624082,1000.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.09375,-1.2126596023639043E-13,1200.0,48.0,-4.0000000000000036,1200.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.109375,-1.4147695360912217E-13,1400.0,45.5,-9.043617446978784,1400.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.109375,-1.4147695360912217E-13,1600.0,48.5,-3.434424583249649,1600.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.125,-1.6168794698185392E-13,1800.0,51.0,0.04079967360260669,1800.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.140625,-1.8189894035458566E-13,2000.0,56.49999999999999,0.6168608636052171,2000.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2187.0,0.140625,-1.8189894035458566E-13,2187.0,50.0,0.0,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
