learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
71.0,0.109375,-2.8295390721824433E-14,71.0,40.845070422535215,-18.239492466296582,2187.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.015625,-4.042198674546348E-15,200.0,43.0,-16.231647634584025,200.0,-1.0
400.0,0.015625,-4.042198674546348E-15,400.0,44.0,-12.857718661829912,400.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,47.5,-5.000000000000004,600.0,-1.0
800.0,0.03125,-8.084397349092695E-15,800.0,46.5,-9.69858519581709,800.0,-1.0
1000.0,0.03125,-8.084397349092695E-15,1000.0,50.0,-3.305785123966945,1000.0,-1.0
1200.0,0.03125,-8.084397349092695E-15,1200.0,48.0,-4.0000000000000036,1200.0,-1.0
1400.0,0.03125,-8.084397349092695E-15,1400.0,46.0,-8.118930823906304,1400.0,-1.0
1600.0,0.046875,-1.2126596023639042E-14,1600.0,50.0,-0.9795011612642676,1600.0,-1.0
1800.0,0.046875,-1.2126596023639042E-14,1800.0,47.5,-6.382978723404249,1800.0,-1.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,56.00000000000001,-1.6635859519408467,2000.0,-1.0
2187.0,0.046875,-1.2126596023639042E-14,2187.0,50.0,0.0,2187.0,-1.0
