learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
22.0,0.203125,-2.627429138455126E-13,22.0,0.737356614976513,1.476896949050056,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.03125,-4.042198674546348E-14,200.0,1.0175767164596516,1.232820872463109,200.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.0625,-8.084397349092696E-14,200.0,0.9505140205248966,1.1240692986382883,400.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.0625,-8.084397349092696E-14,200.0,1.10595228019912,1.209104021686816,600.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.078125,-1.010549668636587E-13,200.0,1.0730391618942945,1.1830601809785344,800.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.078125,-1.010549668636587E-13,200.0,0.6610672628734087,0.8123788990305517,1000.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.09375,-1.2126596023639043E-13,200.0,0.9947639099955464,1.2061003082049384,1200.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.109375,-1.4147695360912217E-13,200.0,0.9793241792602642,1.118933064575251,1400.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.125,-1.6168794698185392E-13,200.0,0.7675928954090041,0.9496871648691979,1600.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.125,-1.6168794698185392E-13,200.0,1.270643184918499,1.3650102000445028,1800.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.140625,-1.8189894035458566E-13,200.0,1.3567095928013722,1.4466421270182448,2000.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2187.0,0.15625,-2.021099337273174E-13,200.0,1.3491033930047132,1.4382503096483275,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
