learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
35.0,1.0625,-2.7486950986915165E-13,35.0,2.9277158586565535,4.89256805131265,2187.0,-1.0,10.0,0.0,13109.5,33.96149780756627,-96.4,9.777752525219915,27.4,2.7936435786342613,14.2,1.3968217893171306,14.2,1.3968217893171306,6.2,0.38873012632301995,0.0,0.0,0.0,0.0,1.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.03125,-8.084397349092695E-15,200.0,3.4935550758759204,4.303740945422977,200.0,-1.0,10.0,0.0,1204.9,15.773712308775002,-6.8,1.1430952132988164,1.8,0.3265986323710904,1.4,0.16329931618554522,1.4,0.16329931618554522,0.39999999999999997,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.078125,-2.021099337273174E-14,200.0,4.480027332416314,4.674263163710123,400.0,-1.0,10.0,0.0,2400.2999999999997,23.172804942192236,-11.7,2.6501572280401278,3.2,0.7571877794400365,2.1,0.37859388972001823,2.1,0.37859388972001823,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.125,-3.233758939637078E-14,200.0,4.717487010304829,4.8393836104086985,600.0,-1.0,10.0,0.0,3614.8,25.552473244069517,-20.1,1.8223915910448851,5.6,0.5206833117271104,3.3,0.2603416558635552,3.3,0.2603416558635552,2.1,0.1795054935711501,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.1875,-4.850638409455617E-14,200.0,3.224520177412791,3.7132051523456977,800.0,-1.0,10.0,0.0,4827.0,28.281521254070558,-29.200000000000003,2.9881246441353295,8.200000000000001,0.8537498983243799,4.6000000000000005,0.42687494916218993,4.6000000000000005,0.42687494916218993,2.8,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.21875,-5.6590781443648867E-14,200.0,?,?,1000.0,-1.0,10.0,0.0,6025.4,26.34396409890587,-36.9,3.4687493743743176,10.4,0.9910712498212338,5.7,0.4955356249106169,5.7,0.4955356249106169,3.4000000000000004,0.30550504633038933,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.265625,-6.871737746728791E-14,200.0,?,?,1200.0,-1.0,10.0,0.0,7211.7,17.182064291968313,-46.7,4.359026394862861,13.2,1.24543611281796,7.1,0.62271805640898,7.1,0.62271805640898,4.0,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.3125,-8.084397349092696E-14,200.0,?,?,1400.0,-1.0,10.0,0.0,8405.699999999999,17.89230126184008,-56.5,5.925931712960137,16.0,1.693123346560039,8.5,0.8465616732800195,8.5,0.8465616732800195,4.4,0.339934634239519,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,0.359375,-9.2970569514566E-14,200.0,?,?,1600.0,-1.0,10.0,0.0,9599.2,16.29710267365203,-68.39999999999999,6.984427121978023,19.400000000000002,1.9955506062794355,10.200000000000001,0.9977753031397177,10.200000000000001,0.9977753031397177,4.8,0.24944382578492943,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,0.390625,-1.010549668636587E-13,200.0,?,?,1800.0,-1.0,10.0,0.0,10802.4,19.22278740338029,-76.1,7.600365488287754,21.6,2.171532996653644,11.3,1.085766498326822,11.3,1.085766498326822,5.600000000000001,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.4375,-1.1318156288729775E-13,200.0,?,?,2000.0,-1.0,10.0,0.0,11989.300000000001,24.99779990319139,-83.80000000000001,8.425886039791635,23.8,2.407396011369038,12.4,1.203698005684519,12.4,1.203698005684519,6.0,0.33333333333333326,0.0,0.0,0.0,0.0,1.0,0.0
2187.0,0.5,-1.2935035758548313E-13,200.0,?,?,2187.0,-1.0,10.0,0.0,13109.5,33.96149780756627,-96.4,9.777752525219915,27.4,2.7936435786342613,14.2,1.3968217893171306,14.2,1.3968217893171306,6.2,0.38873012632301995,0.0,0.0,0.0,0.0,1.0,0.0
