@relation whatever

@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute Range numeric
@attribute Change numeric
@attribute SP500 numeric
@attribute NIKKEI numeric
@attribute Class { Bear , Bull } 


@data
110.72 , 111.83 , 110.6 , 111.81 , 1.53E+11 , -1.23 , 0 , 1270.2 , 15505.18 , Bear 
111.81 , 111.91 , 111.6 , 111.74 , 9473000000 , -0.31 , -0.00027198 , 1270.2 , 15505.18 , Bear 
111.71 , 111.76 , 111.31 , 111.64 , 1.03E+11 , -0.45 , -0.000388839 , 1280.19 , 15571.62 , Bull 
111.64 , 112.12 , 111.44 , 111.71 , 1.45E+11 , 0.68 , 0.000272224 , 1280.19 , 15638.5 , Bull 
111.71 , 112.32 , 111.45 , 112.26 , 1.40E+11 , 0.87 , 0.002132986 , 1270.91 , 15523.94 , Bear 
112.24 , 112.36 , 111.47 , 112.19 , 1.68E+11 , -0.89 , -0.00027089 , 1274.08 , 15321.4 , Bull 
112.15 , 112.58 , 111.78 , 112.27 , 1.44E+11 , 0.8 , 0.000309575 , 1265.48 , 15307.61 , Bear 
112.28 , 112.29 , 112.04 , 112.22 , 8665000000 , -0.25 , -0.000193458 , 1265.48 , 15307.61 , Bear 
112.22 , 112.27 , 111.63 , 111.74 , 1.51E+11 , -0.64 , -0.001861597 , 1267.34 , 15552.81 , Bear 
111.74 , 111.81 , 110.74 , 111.08 , 1.67E+11 , -1.07 , -0.002572796 , 1272.43 , 15473.82 , Bull 
111.06 , 112.27 , 110.99 , 112.04 , 1.54E+11 , 1.28 , 0.003737229 , 1258.6 , 15249.32 , Bull 
112.04 , 112.42 , 111.64 , 112.31 , 1.44E+11 , 0.78 , 0.001045327 , 1242.28 , 15097.95 , Bear 
112.3 , 112.42 , 111.74 , 112.18 , 1.35E+11 , -0.68 , -0.000502992 , 1236.2 , 14845.24 , Bull 
112.23 , 112.39 , 112.17 , 112.3 , 4992000000 , 0.22 , 0.000464321 , 1236.2 , 14845.24 , Bear 
112.33 , 112.37 , 111.49 , 111.91 , 1.15E+11 , -0.88 , -0.001510861 , 1234.49 , 14845.24 , Bull 
111.89 , 113.01 , 111.83 , 112.9 , 1.42E+11 , 1.18 , 0.003825046 , 1236.86 , 14437.24 , Bear 
112.92 , 113.47 , 112.44 , 112.77 , 1.32E+11 , -1.03 , -0.000500361 , 1259.81 , 14500.26 , Bear 
112.78 , 112.85 , 109.65 , 110.56 , 2.21E+11 , -3.2 , -0.00859555 , 1249.13 , 14946.84 , Bull 
110.56 , 111.45 , 110.5 , 111.35 , 1.68E+11 , 0.95 , 0.003092191 , 1240.29 , 14821.26 , Bull 
111.36 , 111.69 , 111.19 , 111.41 , 10756000000 , 0.5 , 0.000233953 , 1240.29 , 14821.26 , Bull 
111.42 , 112 , 111.29 , 111.6 , 1.56E+11 , 0.71 , 0.00074002 , 1260.91 , 14794.5 , Bull 
111.6 , 112.63 , 111.45 , 112.54 , 1.74E+11 , 1.18 , 0.003642716 , 1268.88 , 15005.24 , Bear 
112.54 , 112.82 , 111.91 , 112.25 , 1.71E+11 , -0.91 , -0.001120561 , 1268.4 , 14884.07 , Bull 
112.25 , 112.87 , 111.97 , 112.3 , 1.60E+11 , 0.9 , 0.000193407 , 1263.2 , 15179.78 , Bull 
112.3 , 112.71 , 111.7 , 112.53 , 1.53E+11 , 1.01 , 0.000888563 , 1278.55 , 15342.87 , Bull 
