Time,Open,High,Low,Close,Volume
30.06.2006 20:00:00.000,11.750,11.920,11.380,11.400,0.00
01.07.2006 20:00:00.000,11.400,11.400,11.400,11.400,0.00
02.07.2006 20:00:00.000,11.400,11.400,11.400,11.400,0.00
03.07.2006 20:00:00.000,11.400,11.400,11.400,11.400,0.00
04.07.2006 20:00:00.000,12.410,12.410,11.530,11.680,0.00
05.07.2006 20:00:00.000,11.670,12.330,11.540,12.270,0.00
06.07.2006 20:00:00.000,13.910,13.920,12.480,12.490,0.00
07.07.2006 20:00:00.000,12.240,12.290,11.090,11.450,0.00
08.07.2006 20:00:00.000,11.450,11.450,11.450,11.450,0.00
09.07.2006 20:00:00.000,11.450,11.450,11.450,11.450,0.00
10.07.2006 20:00:00.000,10.960,11.410,10.530,11.280,0.00
11.07.2006 20:00:00.000,11.030,11.370,10.850,10.950,0.00
12.07.2006 20:00:00.000,11.090,11.440,10.800,10.840,0.00
13.07.2006 20:00:00.000,10.870,11.130,10.500,10.810,0.00
14.07.2006 20:00:00.000,10.610,10.900,10.130,10.330,0.00
15.07.2006 20:00:00.000,10.330,10.330,10.330,10.330,0.00
16.07.2006 20:00:00.000,10.330,10.330,10.330,10.330,0.00
17.07.2006 20:00:00.000,11.090,11.090,10.770,10.770,0.00
18.07.2006 20:00:00.000,10.630,10.790,10.360,10.450,0.00
19.07.2006 20:00:00.000,10.800,10.940,9.880,10.230,0.00
20.07.2006 20:00:00.000,10.230,11.210,10.230,10.970,0.00
21.07.2006 20:00:00.000,11.010,11.050,10.510,10.520,0.00
22.07.2006 20:00:00.000,10.520,10.520,10.520,10.520,0.00
23.07.2006 20:00:00.000,10.520,10.520,10.520,10.520,0.00
24.07.2006 20:00:00.000,11.120,11.280,10.700,11.100,0.00
25.07.2006 20:00:00.000,11.110,11.250,10.920,10.990,0.00
26.07.2006 20:00:00.000,11.030,11.030,10.340,10.360,0.00
27.07.2006 20:00:00.000,10.400,10.580,10.270,10.520,0.00
28.07.2006 20:00:00.000,10.240,11.730,10.240,11.570,0.00
29.07.2006 20:00:00.000,11.570,11.570,11.570,11.570,0.00
30.07.2006 20:00:00.000,11.570,11.570,11.570,11.570,0.00
31.07.2006 20:00:00.000,11.750,12.230,11.360,12.080,0.00
01.08.2006 20:00:00.000,12.000,12.030,11.690,11.750,0.00
02.08.2006 20:00:00.000,11.900,12.010,11.620,11.830,0.00
03.08.2006 20:00:00.000,12.120,12.570,11.990,12.520,0.00
04.08.2006 20:00:00.000,11.820,12.920,11.820,12.480,0.00
05.08.2006 20:00:00.000,12.480,12.480,12.480,12.480,0.00
06.08.2006 20:00:00.000,12.480,12.480,12.480,12.480,0.00
07.08.2006 20:00:00.000,12.560,13.290,12.560,13.210,0.00
08.08.2006 20:00:00.000,12.250,12.780,12.240,12.400,0.00
09.08.2006 20:00:00.000,12.030,12.560,11.510,12.380,0.00
10.08.2006 20:00:00.000,12.340,12.940,11.880,12.420,0.00
11.08.2006 20:00:00.000,12.360,12.980,12.180,12.740,0.00
12.08.2006 20:00:00.000,12.740,12.740,12.740,12.740,0.00
13.08.2006 20:00:00.000,12.740,12.740,12.740,12.740,0.00
14.08.2006 20:00:00.000,12.870,12.990,12.080,12.260,0.00
15.08.2006 20:00:00.000,12.370,13.890,12.280,13.520,0.00
16.08.2006 20:00:00.000,13.350,13.760,12.780,13.300,0.00
17.08.2006 20:00:00.000,13.470,13.880,13.010,13.420,0.00
18.08.2006 20:00:00.000,12.840,13.850,12.610,13.420,0.00
19.08.2006 20:00:00.000,13.420,13.420,13.420,13.420,0.00
20.08.2006 20:00:00.000,13.420,13.420,13.420,13.420,0.00
21.08.2006 20:00:00.000,13.670,13.890,13.200,13.420,0.00
22.08.2006 20:00:00.000,13.630,14.050,13.300,13.340,0.00
23.08.2006 20:00:00.000,13.560,14.180,13.000,14.170,0.00
24.08.2006 20:00:00.000,13.920,14.120,13.660,13.730,0.00
25.08.2006 20:00:00.000,13.790,14.200,13.650,13.720,0.00
26.08.2006 20:00:00.000,13.720,13.720,13.720,13.720,0.00
27.08.2006 20:00:00.000,13.720,13.720,13.720,13.720,0.00
28.08.2006 20:00:00.000,14.340,14.410,13.380,13.520,0.00
29.08.2006 20:00:00.000,13.490,14.180,13.470,13.650,0.00
30.08.2006 20:00:00.000,13.370,13.630,12.560,12.600,0.00
31.08.2006 20:00:00.000,12.860,13.370,12.310,13.150,0.00
01.09.2006 20:00:00.000,13.210,13.720,13.030,13.570,0.00
02.09.2006 20:00:00.000,13.570,13.570,13.570,13.570,0.00
03.09.2006 20:00:00.000,13.570,13.570,13.570,13.570,0.00
04.09.2006 20:00:00.000,13.570,13.570,13.570,13.570,0.00
05.09.2006 20:00:00.000,14.170,14.180,12.900,12.930,0.00
06.09.2006 20:00:00.000,13.060,13.200,12.440,12.520,0.00
07.09.2006 20:00:00.000,12.720,12.940,12.370,12.930,0.00
08.09.2006 20:00:00.000,12.460,12.650,11.960,11.980,0.00
09.09.2006 20:00:00.000,11.980,11.980,11.980,11.980,0.00
10.09.2006 20:00:00.000,11.980,11.980,11.980,11.980,0.00
11.09.2006 20:00:00.000,11.660,11.890,11.450,11.650,0.00
12.09.2006 20:00:00.000,11.760,12.480,11.750,12.390,0.00
13.09.2006 20:00:00.000,12.790,13.260,12.670,12.910,0.00
14.09.2006 20:00:00.000,12.720,13.170,12.280,12.490,0.00
15.09.2006 20:00:00.000,11.890,11.930,11.070,11.220,0.00
16.09.2006 20:00:00.000,11.220,11.220,11.220,11.220,0.00
17.09.2006 20:00:00.000,11.220,11.220,11.220,11.220,0.00
18.09.2006 20:00:00.000,12.170,12.460,12.040,12.140,0.00
19.09.2006 20:00:00.000,12.230,12.960,11.830,12.640,0.00
20.09.2006 20:00:00.000,11.690,13.910,11.680,13.790,0.00
21.09.2006 20:00:00.000,13.850,14.390,13.310,13.330,0.00
22.09.2006 20:00:00.000,13.640,13.880,12.750,12.960,0.00
23.09.2006 20:00:00.000,12.960,12.960,12.960,12.960,0.00
24.09.2006 20:00:00.000,12.960,12.960,12.960,12.960,0.00
25.09.2006 20:00:00.000,13.270,13.470,12.640,13.040,0.00
26.09.2006 20:00:00.000,13.060,13.460,12.510,12.760,0.00
27.09.2006 20:00:00.000,12.600,12.980,12.370,12.630,0.00
28.09.2006 20:00:00.000,12.920,13.230,12.150,12.240,0.00
29.09.2006 20:00:00.000,12.420,12.440,11.920,11.920,0.00
30.09.2006 20:00:00.000,11.920,11.920,11.920,11.920,0.00
01.10.2006 20:00:00.000,11.920,11.920,11.920,11.920,0.00
02.10.2006 20:00:00.000,12.370,12.620,11.990,12.460,0.00
03.10.2006 20:00:00.000,12.500,13.210,12.110,13.200,0.00
04.10.2006 20:00:00.000,13.150,14.580,12.970,14.550,0.00
05.10.2006 20:00:00.000,14.530,15.630,14.040,14.960,0.00
06.10.2006 20:00:00.000,14.560,14.820,14.300,14.590,0.00
07.10.2006 20:00:00.000,14.590,14.590,14.590,14.590,0.00
08.10.2006 20:00:00.000,14.590,14.590,14.590,14.590,0.00
09.10.2006 20:00:00.000,14.930,15.610,14.870,15.550,0.00
10.10.2006 20:00:00.000,15.350,15.700,15.060,15.630,0.00
11.10.2006 20:00:00.000,15.560,16.270,15.040,16.220,0.00
12.10.2006 20:00:00.000,16.320,17.190,15.980,16.470,0.00
13.10.2006 20:00:00.000,15.990,16.030,14.830,14.870,0.00
14.10.2006 20:00:00.000,14.870,14.870,14.870,14.870,0.00
15.10.2006 20:00:00.000,14.870,14.870,14.870,14.870,0.00
16.10.2006 20:00:00.000,15.300,15.300,14.580,14.670,0.00
17.10.2006 20:00:00.000,14.920,15.400,14.790,15.330,0.00
18.10.2006 20:00:00.000,15.630,15.860,13.470,13.500,0.00
19.10.2006 20:00:00.000,14.180,16.190,13.980,16.110,0.00
20.10.2006 20:00:00.000,15.530,16.270,15.280,16.130,0.00
21.10.2006 20:00:00.000,16.130,16.130,16.130,16.130,0.00
22.10.2006 20:00:00.000,16.130,16.130,16.130,16.130,0.00
23.10.2006 20:00:00.000,16.180,16.440,14.610,14.740,0.00
24.10.2006 20:00:00.000,14.960,15.300,14.200,14.530,0.00
25.10.2006 20:00:00.000,14.800,14.880,13.720,14.590,0.00
26.10.2006 20:00:00.000,14.730,16.300,14.570,16.020,0.00
27.10.2006 20:00:00.000,15.450,15.610,14.110,14.250,0.00
28.10.2006 20:00:00.000,14.250,14.250,14.250,14.250,0.00
29.10.2006 20:00:00.000,14.250,14.250,14.250,14.250,0.00
30.10.2006 20:00:00.000,14.040,15.390,13.930,15.320,0.00
31.10.2006 20:00:00.000,14.850,15.660,14.650,14.850,0.00
01.11.2006 20:00:00.000,14.990,14.990,13.380,13.480,0.00
02.11.2006 20:00:00.000,13.120,13.230,12.500,13.000,0.00
03.11.2006 20:00:00.000,12.880,13.620,12.690,13.170,0.00
04.11.2006 20:00:00.000,13.170,13.170,13.170,13.170,0.00
05.11.2006 19:00:00.000,13.170,13.170,13.170,13.170,0.00
06.11.2006 19:00:00.000,13.110,13.650,12.760,13.100,0.00
07.11.2006 19:00:00.000,13.610,13.610,13.040,13.080,0.00
08.11.2006 19:00:00.000,13.140,13.360,12.420,12.800,0.00
09.11.2006 19:00:00.000,12.680,13.170,11.730,11.900,0.00
10.11.2006 19:00:00.000,11.820,11.960,11.630,11.630,0.00
11.11.2006 19:00:00.000,11.630,11.630,11.630,11.630,0.00
12.11.2006 19:00:00.000,11.630,11.630,11.630,11.630,0.00
13.11.2006 19:00:00.000,11.990,12.340,11.770,12.180,0.00
14.11.2006 19:00:00.000,12.150,12.690,11.700,12.230,0.00
15.11.2006 19:00:00.000,12.220,12.680,12.170,12.260,0.00
16.11.2006 19:00:00.000,11.920,12.200,11.250,11.250,0.00
17.11.2006 19:00:00.000,11.190,11.670,10.970,11.120,0.00
18.11.2006 19:00:00.000,11.120,11.120,11.120,11.120,0.00
19.11.2006 19:00:00.000,11.120,11.120,11.120,11.120,0.00
20.11.2006 19:00:00.000,11.180,11.380,10.710,10.820,0.00
21.11.2006 19:00:00.000,11.010,11.100,10.500,10.600,0.00
22.11.2006 19:00:00.000,10.960,11.030,10.670,10.960,0.00
23.11.2006 19:00:00.000,10.960,10.960,10.960,10.960,0.00
24.11.2006 19:00:00.000,11.040,11.240,10.880,10.880,0.00
25.11.2006 19:00:00.000,10.880,10.880,10.880,10.880,0.00
26.11.2006 19:00:00.000,10.880,10.880,10.880,10.880,0.00
27.11.2006 19:00:00.000,11.340,11.990,11.330,11.840,0.00
28.11.2006 19:00:00.000,11.770,11.960,11.610,11.890,0.00
